botid, date, time, press, theta, sigma, temp, csal, coxy, bsal, boxy, dic, ph, alk, phos, nit, sil, no2, 
#, mmddyy, hhmmss, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, PSS-78, umol/kg, umol/kg,  , ueq/kg, umol/kg, umol/kg, umol/kg, nmol/kg, 
0010201411, -00009, -00009,   11.7, 26.3408, 23.061, 26.3434, 35.1758,   -9.0, 35.1740,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201410, 110288, 002445,   52.9, 26.2355, 23.093, 26.2473, 35.1737,   -9.0, 35.1798,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201409, 110288, 002415,  117.3, 21.2435, 24.596, 21.2662, 35.2196,   -9.0, 35.2129,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201408, 110288, 002239,  115.8, 21.3396, 24.568, 21.3620, 35.2177,   -9.0, 35.2152,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201407, 110288, 002047,  368.4,  9.4726, 26.335,  9.5140, 34.0971,   -9.0, 34.1023,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201406, 110288, 001948,  493.7,  7.0063, 26.653,  7.0530, 34.0281,   -9.0, 34.0306,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201405, 110288, 001357,  692.3,  4.7620, 27.080,  4.8168, 34.2156,   -9.0, 34.2146,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201404, 110288, 001049,  836.7,  4.3341, 27.262,  4.3988, 34.3846,   -9.0, 34.3781,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201403, 110288, 000624, 1011.2,  3.9007, 27.379,  3.9771, 34.4750,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201510, -00009, -00009,    8.9, 26.3095, 23.067, 26.3115, 35.1708,  225.4, 35.1698,  214.9,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201509, 110288, 030628,   18.9, 26.2722, 23.080, 26.2764, 35.1716,  213.4, 35.1691,  218.6,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201508, 110288, 030508,   38.9, 26.2580, 23.084, 26.2667, 35.1722,  212.1, 35.1695,  214.1,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201507, 110288, 030304,   66.7, 23.8863, 23.847, 23.9003, 35.2255,  212.5, 35.2251,  225.7,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201506, 110288, 030137,  116.1, 20.9457, 24.637, 20.9679, 35.1673,  189.6, 35.1635,  200.6,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201505, 110288, 025918,  308.4, 11.8994, 26.011, 11.9394, 34.2312,  197.7, 34.2319,  208.1,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201504, 110288, 025441,  508.3,  6.6544, 26.705,  6.7012, 34.0338,  115.5, 34.0278,  118.3,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201503, 110288, 024945,  754.8,  4.4259, 27.225,  4.4842, 34.3509,   24.0, 34.3458,   28.2,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201502, 110288, 024424, 1008.5,  3.8104, 27.397,  3.8858, 34.4865,   43.0, 34.4855,   47.2,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201607, 110288, 065824,   10.0, 26.2809, 23.085, 26.2832, 35.1818,  214.2, 35.1788,  209.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201606, 110288, 065635,   82.5, 23.6508, 23.926, 23.6680, 35.2382,  217.0, 35.2273,  224.2,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201605, 110288, 065507,  132.5, 20.1096, 24.833, 20.1342, 35.1301,  178.8, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201604, 110288, 065022,  354.9, 10.4730, 26.204, 10.5154, 34.1457,  188.7, 34.1465,  206.3,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201603, 110288, 064652,  520.0,  6.2623, 26.756,  6.3086, 34.0336,  100.4, 34.0301,  103.7,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201602, 110288, 064219,  710.4,  4.6177, 27.154,  4.6734, 34.2882,   21.3, 34.2842,   25.9,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201601, 110288, 063540, 1014.9,  3.7818, 27.399,  3.8576, 34.4856,   44.2, 34.4847,   46.8,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201707, 110288, 112239,   28.3, 26.2754, 23.096, 26.2818, 35.1948,  206.3, 35.1844,  210.2,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201706, 110288, 111212,  519.2,  6.2508, 26.765,  6.2970, 34.0430,  102.4, 34.0315,  100.8,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201705, 110288, 105709,  991.2,  3.9406, 27.378,  4.0156, 34.4793,   41.1, 34.4673,   43.7,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201704, 110288, 104137, 1451.7,  2.7387, 27.573,  2.8408, 34.5795,   68.9, 34.5729,   72.1,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201703, 110288, 102808, 1920.7,  2.0205, 27.670,  2.1526, 34.6255,   94.6, 34.6161,   95.1,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
